Designator,Footprint,Quantity,Value,LCSC Part #
+5V,TestPoint_Pad_1.5x1.5mm,1,TestPoint,
BAT,PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,PWR,
"C1, C11, C2, C3, C4, C5, C6, C7, C9",0805,9,105,
"C10, C12, C14, C15, C16, C21",0805,6,4.7uF50V,
"C13, C17, C18, C19, C20, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34",0805,18,100nF,
C8,0805,1,104,
"D1, D11, D2, D3, D8",D_SOD-123,5,MBR0530,
"D10, D12, D13, D14, D4, D5, D6, D9",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,8,WS2812B,
"D15, D16, D17, D18, D19, D20, D21, D22",MX_SK6812MINI-E,8,SK6812MINI-E,
D7,0805,1,LED,
"EXT1, INA322",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08_Pin,
"H13, H2, H3, H4, H6, H7",MountingHole_2.2mm_M2,6,MountingHole,
"I2C1, RTC1",PinHeader_1x05_P2.54mm_Vertical,2,Conn_01x05_Pin,
"IO0, J2",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Conn_01x02_Pin,
"J1, RES",PinHeader_1x02_P2.00mm_Vertical,2,Conn_01x02_Pin,
"J10, J11, J12, J13, J14, J15, J16, J9",OMEGA_PCC-SMP-V-K,8,PCC-SMP-V-K,
J3,TF-SMD_XKTF-0803-0,1,Micro_SD_Card_Det_US,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01_Pin,
JOG1,JogWheel,1,jogdial,
L1,1210,1,68uH1A,
Q1,SOT-323_SC-70,1,Si1308,
Q2,SOT-23,1,2N7002,
"R1, R10, R11, R12, R18, R2, R21, R22, R3, R30, R31, R4",0805,12,10K,
"R13, R15, R16, R17, R28",0805,5,100K,
"R14, R9",0805,2,1K,
R19,0805,1,300K,
R20,0805,1,330k,
R23,0603,1,10k,
R24,0603,1,1M,
R25,0603,1,22,
R26,0603,1,0R,
"R27, R29, R32, R7",0805,4,0R,
"R5, R6",0805,2,5k11,
R8,0805,1,3R,
REFTemp1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
SI2,SOT-23,1,SI2301CDS,
"SW1, SW2",SW_SPST_CK_KMS2xxGP,2,SW_Push,
"TP1, TP2, TP3",TestPoint_Pad_D1.0mm,3,TestPoint,
Therm1,MLX90640,1,MLX90640,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-Espressif,
"U11, U4",SOT-23-5,2,RT9013,
U2,TE_2-1734839-4_1x24-1MP_P0.5mm_Horizontal,1,FPCConn,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,TCA9554PW,
U5,TSSOP-14_4.4x5mm_P0.65mm,1,MAX31856,
U6,GC9A01_IPS_display_reversed,1,GC9A01_IPS_display,
U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TP4065,
U8,TSSOP-28_4.4x9.7mm_P0.65mm,1,ADG1607xCP,
U9,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,~,
USB,USB-C_SMD-TYPE-C-31-M-12,1,KoreanHropartsElecTYPE-C-31-M-12,
