Designator,Mid X,Mid Y,Rotation,Layer
BAT,135.925,40.23701,180.0,top
C1,127.051,19.67501,0.0,top
C10,125.826,40.43402,0.0,top
C11,127.151,30.56701,0.0,top
C12,116.426,17.89652,270.0,top
C13,117.5375,20.86701,0.0,top
C14,103.951,41.14652,270.0,top
C15,110.826,43.36701,0.0,top
C16,100.2296,36.62301,0.0,top
C17,125.6042,39.16301,90.0,bottom
C18,105.5382,37.99461,0.0,bottom
C19,133.325,37.87701,0.0,bottom
C2,122.576,18.36701,180.0,top
C20,105.5382,40.07741,0.0,bottom
C21,103.7602,29.74351,90.0,top
C22,107.3455,25.49781,0.0,top
C23,19.525,30.55451,270.0,bottom
C24,33.825,23.56701,90.0,top
C25,66.65,38.69201,90.0,bottom
C26,89.1,40.20451,90.0,bottom
C27,45.025,39.54201,90.0,bottom
C28,34.6,38.71701,90.0,bottom
C29,56.25,38.82951,90.0,bottom
C3,127.051,21.91701,0.0,top
C30,78.825,23.56701,90.0,top
C31,67.8,23.50451,90.0,top
C32,23.25,39.39201,90.0,bottom
C33,42.125,31.82951,270.0,bottom
C34,52.725,31.55451,270.0,bottom
C4,127.051,24.01701,0.0,top
C5,127.051,26.16701,0.0,top
C6,127.051,28.31701,0.0,top
C7,126.775,34.71701,0.0,top
C8,128.076,16.68402,90.0,top
C9,126.875,32.66701,0.0,top
D1,122.326,22.81701,180.0,top
D10,50.8818,19.5,0.0,top
D11,105.4874,36.31821,0.0,top
D12,39.8818,19.5,0.0,top
D13,28.8818,19.5,0.0,top
D14,17.4394,19.5,0.0,top
D15,17.2039,37.964511,180.0,top
D16,28.7875,37.964511,180.0,top
D17,39.2875,37.964511,180.0,top
D18,50.7875,37.964511,180.0,top
D19,61.2875,37.964511,180.0,top
D2,122.326,20.56701,0.0,top
D20,72.2875,37.964511,180.0,top
D21,83.7875,37.964511,180.0,top
D22,94.7875,37.964511,180.0,top
D3,130.176,40.43402,180.0,top
D4,94.8818,19.63141,0.0,top
D5,83.8818,19.63141,0.0,top
D6,72.8818,19.5,0.0,top
D7,136.576,42.43402,180.0,bottom
D8,110.7974,36.58301,0.0,top
D9,61.8818,19.5,0.0,top
EXT1,89.28,15.51701,90.0,bottom
I2C1,23.039,26.36641,0.0,bottom
INA322,11.9646,28.00201,0.0,top
J1,109.2974,34.08301,0.0,bottom
J10,28.715,35.5,270.0,top
J11,39.715,35.5,270.0,top
J12,50.715,35.5,270.0,top
J13,61.715,35.5,270.0,top
J14,72.715,35.5,270.0,top
J15,83.715,35.5,270.0,top
J16,94.715,35.5,270.0,top
J3,119.125,31.36701,180.0,top
J4,116.245,43.04701,0.0,top
J9,17.715,35.5,270.0,top
JOG1,36.475,15.779509,180.0,bottom
L1,108.5862,29.20621,270.0,top
Q1,125.675,37.43402,180.0,top
Q2,136.8125,17.86701,0.0,bottom
R1,129.326,38.18402,0.0,top
R10,117.225,25.71701,90.0,top
R11,121.225,25.71701,270.0,top
R12,115.275,25.21701,90.0,top
R13,101.4742,36.87701,180.0,bottom
R14,125.226,42.33402,0.0,bottom
R15,130.201,43.43402,90.0,top
R16,101.625,43.41701,90.0,bottom
R17,136.826,44.43402,0.0,bottom
R18,123.225,25.71701,270.0,top
R19,133.926,43.63402,90.0,bottom
R2,119.275,25.71701,90.0,top
R20,101.1694,38.85821,180.0,bottom
R21,107.0114,18.26821,270.0,top
R22,113.275,25.41701,90.0,top
R23,135.325,34.76701,0.0,bottom
R24,134.125,16.14201,90.0,bottom
R25,134.075,24.96701,90.0,bottom
R26,134.0878,32.52041,90.0,bottom
R27,103.822,33.61881,270.0,top
R28,100.382,34.46401,0.0,top
R29,95.5306,34.37841,90.0,top
R3,118.526,17.93402,270.0,top
R30,79.2238,28.25041,90.0,top
R31,77.05,28.99201,90.0,top
R32,17.975,15.61701,0.0,top
R4,133.226,38.33402,0.0,top
R5,125.5694,42.43402,180.0,top
R6,110.826,40.93402,180.0,bottom
R7,111.076,40.51701,270.0,top
R8,130.225,35.26701,270.0,top
R9,133.576,40.76701,0.0,bottom
REFTemp1,45.137,28.08861,0.0,bottom
RES,111.775,19.21701,0.0,top
RTC1,55.8558,27.68721,0.0,bottom
SI2,137.126,38.99652,90.0,bottom
SW1,105.951,43.71701,180.0,bottom
SW2,129.951,43.71701,180.0,bottom
Therm1,65.297,29.05081,90.0,bottom
U1,123.551,23.24402,180.0,bottom
U11,101.0678,31.36521,90.0,top
U2,133.799,28.05701,90.0,top
U3,104.1509,17.42061,90.0,bottom
U4,107.326,40.68402,0.0,top
U5,109.2289,27.22501,90.0,bottom
U6,141.175,28.43402,90.0,bottom
U7,128.926,39.3,0.0,bottom
U8,100.1026,27.37741,0.0,bottom
U9,105.613,34.90781,90.0,bottom
USB,117.951,42.50551,180.0,bottom
